sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level,risk_label
HOCKEY,139.22,146.96,115.9,85.19,39.43,163.8,95.99,0,1,1,0,0,low
BADMINTON,90.39,98.41,48.14,181.21,47.51,147.56,52.04,1,1,1,1,3,critical
VOLLEYBALL,136.42,151.36,109.72,131.22,16.66,167.17,91.82,0,0,0,0,0,low
TENNIS,128.26,152.23,117.45,176.27,28.96,161.28,79.28,0,1,0,1,1,moderate
TRACK,86.89,110.42,48.13,115.44,37.97,145.76,60.97,0,1,1,1,3,critical
CYCLING,141.32,158.31,130.67,63.58,17.32,178.29,89.51,0,0,0,0,0,low
BOXING,115.97,109.16,123.53,120.38,38.54,152.28,51.44,1,1,1,1,2,high
VOLLEYBALL,101.08,150.81,94.24,139.67,25.54,163.54,83.8,0,1,0,0,1,moderate
BASKETBALL,71.43,118.34,71.41,137.48,35.7,144.1,44.48,0,1,1,1,3,critical
HOCKEY,84.04,113.9,84.84,125.42,50.84,154.06,47.74,1,1,1,1,2,high
BADMINTON,126.55,130.24,85.76,159.71,28.79,163.51,81.14,0,1,0,0,1,moderate
OTHER,88.73,100.55,60.42,148.55,45.64,150.17,50.12,1,1,1,1,3,critical
AMERICAN_FOOTBALL,68.75,87.58,67.95,148.27,54.69,145.66,48.43,1,1,1,1,3,critical
AMERICAN_FOOTBALL,115.78,149.64,85.14,126.14,43.12,162.93,76.36,0,1,1,1,1,moderate
BASEBALL,138.83,135.72,76.78,174.29,27.43,155.97,66.45,0,1,0,1,1,moderate
GYMNASTICS,86.07,89.03,153.05,177.93,33.46,163.31,70.59,0,1,1,1,1,moderate
SOCCER,96.45,137.32,105.94,106.35,29.29,164.17,62.05,1,1,1,1,2,high
WRESTLING,44.58,77.15,40.68,181.44,68.31,138.83,39.07,0,1,1,1,3,critical
TRACK,137.21,171.3,91.67,71.43,8.8,175.12,93.85,0,0,0,0,0,low
OTHER,83.27,98.33,64.34,138.82,49.48,135.33,42.1,1,1,1,1,3,critical
WRESTLING,47.8,68.18,43.76,166.0,72.21,138.77,47.2,1,1,1,1,3,critical
HOCKEY,92.75,117.45,97.51,108.3,42.72,165.37,68.85,0,0,1,1,1,moderate
BADMINTON,104.91,148.91,96.43,156.21,25.08,161.74,70.9,0,1,0,1,1,moderate
CYCLING,121.96,119.37,96.41,113.46,42.74,162.9,60.65,1,1,1,1,2,high
GYMNASTICS,120.9,79.14,163.16,149.22,35.38,165.01,86.28,0,0,1,0,0,low
CYCLING,122.74,139.67,118.71,95.06,27.7,163.06,77.1,0,1,1,1,1,moderate
TRACK,107.34,133.5,56.11,107.36,15.68,164.63,70.34,1,1,0,1,2,high
SOCCER,117.23,137.28,142.9,91.83,16.84,167.34,78.73,0,0,0,1,1,moderate
OTHER,119.18,141.7,103.8,138.5,15.76,165.58,82.4,0,0,0,0,1,moderate
BOXING,127.53,137.32,138.97,113.1,24.13,164.23,72.31,0,1,0,1,1,moderate
CYCLING,132.99,142.53,120.05,99.85,33.54,164.08,80.99,0,1,1,0,1,moderate
HOCKEY,113.04,124.92,89.8,100.87,36.62,161.78,75.24,0,1,1,1,1,moderate
TENNIS,120.46,128.91,89.9,177.4,41.69,155.8,57.03,0,1,1,1,2,high
BADMINTON,138.7,151.54,103.93,154.58,14.83,171.15,86.72,0,0,0,0,0,low
OTHER,138.45,156.04,132.49,89.26,13.87,169.72,81.66,0,0,0,0,0,low
TRACK,83.06,113.64,34.11,113.59,35.93,137.66,50.32,1,1,1,1,3,critical
BOXING,97.05,123.38,95.94,142.09,41.29,143.56,43.92,1,1,1,1,3,critical
SWIMMING,110.48,157.78,90.01,167.18,22.6,158.86,82.55,0,1,0,0,1,moderate
RUGBY,71.78,84.53,41.03,156.35,56.13,131.55,50.97,1,1,1,1,3,critical
BADMINTON,88.39,118.87,58.09,174.61,36.3,159.87,58.89,1,1,1,1,2,high
CRICKET,88.58,109.19,68.74,177.8,47.72,151.89,59.08,0,1,1,1,2,high
CYCLING,132.54,134.01,98.44,88.79,29.17,163.33,79.78,0,1,0,1,1,moderate
SWIMMING,100.97,119.01,76.74,182.22,27.38,161.55,66.52,1,1,0,1,2,high
AMERICAN_FOOTBALL,89.47,116.02,63.95,127.53,41.74,152.23,61.03,1,1,1,1,2,high
TRACK,121.01,152.46,68.7,72.58,19.02,164.41,82.48,0,1,0,0,1,moderate
BADMINTON,71.56,99.93,55.48,184.14,41.43,147.61,38.4,1,1,1,1,3,critical
TRACK,108.17,142.06,55.1,80.36,25.5,156.6,68.58,0,1,0,1,2,high
VOLLEYBALL,91.28,119.6,77.97,145.2,37.19,149.78,55.3,1,1,1,1,2,high
OTHER,131.4,141.47,109.83,115.14,18.35,165.34,72.64,0,0,0,1,1,moderate
VOLLEYBALL,121.35,127.96,129.42,137.96,10.41,167.94,89.47,0,0,0,0,0,low
GYMNASTICS,71.87,66.0,85.85,181.05,47.71,158.99,81.41,1,1,1,0,2,high
GYMNASTICS,45.04,61.94,88.32,185.0,76.43,131.95,53.5,1,1,1,1,3,critical
BOXING,140.4,147.5,138.81,76.68,14.44,179.24,92.29,0,0,0,0,0,low
VOLLEYBALL,100.09,138.31,87.22,140.25,23.19,163.48,76.01,0,1,0,1,1,moderate
RUGBY,100.62,122.69,112.49,135.03,29.08,167.8,80.52,0,0,0,0,1,moderate
BASEBALL,88.36,107.58,43.0,183.41,66.17,149.55,50.27,1,1,1,1,3,critical
BOXING,94.71,100.99,91.63,149.16,50.92,140.11,43.97,1,1,1,1,3,critical
HOCKEY,104.3,110.92,108.93,122.87,42.56,164.77,74.02,0,1,1,1,1,moderate
HOCKEY,81.74,81.92,55.32,128.41,73.71,147.54,41.71,1,1,1,1,3,critical
WRESTLING,124.7,129.76,94.26,119.39,25.46,170.18,76.75,0,0,0,1,0,low
CRICKET,111.05,149.3,125.18,141.99,17.98,165.82,86.83,0,0,0,0,0,low
BASEBALL,150.63,158.39,94.26,157.78,22.19,175.76,78.03,0,0,0,1,0,low
BASEBALL,77.01,104.57,38.01,183.77,64.48,147.73,36.74,1,1,1,1,3,critical
BADMINTON,123.73,138.83,106.12,172.08,26.36,159.75,69.94,0,1,0,1,1,moderate
SWIMMING,135.81,150.36,79.28,163.93,20.16,158.35,75.49,0,1,0,1,1,moderate
CYCLING,119.58,133.91,110.31,89.59,23.37,170.59,81.29,0,0,0,0,1,moderate
CYCLING,145.2,158.06,133.41,69.81,25.9,174.38,95.09,0,0,0,0,0,low
BOXING,155.49,149.24,170.73,115.99,15.2,173.03,88.56,0,0,0,0,0,low
OTHER,105.91,113.9,98.13,138.88,34.36,159.45,72.87,1,1,1,1,2,high
HOCKEY,85.38,113.81,70.24,135.14,46.78,156.02,52.14,1,1,1,1,2,high
SOCCER,140.2,163.54,141.91,67.65,11.65,174.17,89.16,0,0,0,0,0,low
CRICKET,99.9,123.7,96.47,171.83,24.66,159.72,70.75,0,1,0,1,1,moderate
TENNIS,106.54,119.98,94.35,177.42,39.69,158.47,54.51,1,1,1,1,2,high
BADMINTON,107.22,139.49,77.06,161.14,37.66,163.83,76.24,0,1,1,1,1,moderate
TRACK,80.43,111.89,33.98,129.45,33.87,157.45,53.72,0,1,1,1,3,critical
VOLLEYBALL,79.41,112.69,86.83,155.58,34.0,150.09,72.33,1,1,1,1,2,high
WRESTLING,61.27,100.76,80.51,149.67,47.75,151.18,53.26,0,1,1,1,2,high
GYMNASTICS,41.72,60.6,79.9,179.49,72.64,135.13,47.55,1,1,1,1,3,critical
WRESTLING,80.17,105.69,76.85,130.06,51.33,160.35,55.32,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,86.52,101.57,70.21,123.76,45.17,159.96,67.22,1,1,1,1,2,high
AMERICAN_FOOTBALL,69.18,103.06,53.73,155.99,60.66,148.57,53.64,1,1,1,1,3,critical
CYCLING,121.03,138.1,124.17,93.41,33.51,163.37,81.93,0,1,1,0,1,moderate
HOCKEY,67.64,77.97,60.39,142.82,68.96,142.57,30.41,1,1,1,1,3,critical
CYCLING,129.19,143.49,110.91,75.26,30.74,161.75,85.95,0,1,1,0,1,moderate
CYCLING,110.3,153.26,109.83,89.74,26.9,166.52,81.18,0,0,0,0,1,moderate
GYMNASTICS,54.98,38.82,79.54,185.0,65.82,135.75,52.51,1,1,1,1,3,critical
VOLLEYBALL,107.06,124.8,102.5,128.72,17.56,166.27,84.58,0,0,0,0,1,moderate
AMERICAN_FOOTBALL,71.55,94.54,49.42,158.4,48.62,146.2,42.01,1,1,1,1,3,critical
WRESTLING,49.35,70.92,50.02,162.01,71.14,139.64,48.74,1,1,1,1,3,critical
TENNIS,122.77,140.73,110.72,169.95,31.81,161.86,64.92,0,1,1,1,1,moderate
TENNIS,124.41,145.73,86.38,170.81,32.03,156.94,61.91,0,1,1,1,1,moderate
BASKETBALL,119.79,127.43,90.68,87.14,18.09,167.3,77.93,0,0,0,1,1,moderate
BADMINTON,80.38,93.25,60.96,184.52,46.66,145.62,55.77,1,1,1,1,3,critical
CYCLING,144.44,151.65,123.07,68.96,20.02,177.11,92.88,0,0,0,0,0,low
RUGBY,73.09,103.98,42.01,139.57,68.93,144.51,57.25,0,1,1,1,3,critical
HOCKEY,66.62,83.37,44.6,151.28,57.66,142.47,44.74,1,1,1,1,3,critical
HOCKEY,86.52,109.42,66.59,126.08,49.69,162.51,64.1,0,1,1,1,2,high
AMERICAN_FOOTBALL,99.78,108.15,69.69,145.54,41.71,152.51,70.55,1,1,1,1,2,high
BADMINTON,89.29,112.33,64.86,171.55,38.99,153.84,56.03,1,1,1,1,2,high
OTHER,117.25,143.93,107.52,113.37,28.89,171.35,75.26,0,0,0,1,1,moderate
AMERICAN_FOOTBALL,76.34,91.79,52.4,173.87,58.38,143.51,56.01,1,1,1,1,3,critical
BASEBALL,117.69,136.64,70.44,173.53,35.27,162.24,65.15,0,1,1,1,1,moderate
SWIMMING,135.92,152.36,116.32,143.83,7.62,176.82,90.75,0,0,0,0,0,low
TRACK,147.92,161.77,94.75,69.07,4.61,175.28,90.19,0,0,0,0,0,low
SOCCER,98.62,145.21,103.8,103.55,34.02,162.05,65.92,0,1,1,1,2,high
RUGBY,100.33,125.23,70.07,151.75,54.54,151.5,64.51,1,1,1,1,2,high
RUGBY,126.76,134.89,99.01,114.08,27.35,163.19,75.49,0,1,0,1,1,moderate
TRACK,127.71,138.1,73.74,82.59,17.65,165.56,84.47,0,0,1,0,1,moderate
TRACK,114.12,156.38,79.83,80.82,17.27,170.24,81.93,0,0,0,0,1,moderate
SOCCER,97.12,131.96,102.4,117.04,26.63,159.27,69.54,0,1,0,1,2,high
TENNIS,91.59,133.24,75.92,174.45,26.37,153.71,52.25,1,1,0,1,2,high
TENNIS,118.84,126.56,116.6,162.84,19.16,166.69,64.46,0,0,0,1,1,moderate
TRACK,97.96,135.98,64.16,90.31,23.75,163.4,69.11,0,1,0,1,2,high
SOCCER,137.9,155.49,130.83,77.4,7.16,173.48,89.02,0,0,0,0,0,low
WRESTLING,46.57,61.57,50.29,162.44,65.35,142.1,18.67,1,1,1,1,3,critical
RUGBY,67.49,87.54,63.76,168.3,61.57,136.11,50.14,1,1,1,1,3,critical
AMERICAN_FOOTBALL,93.75,112.63,55.06,149.62,47.85,156.4,60.58,0,1,1,1,2,high
BADMINTON,96.94,127.14,68.03,175.83,37.52,158.07,50.85,0,1,1,1,2,high
CRICKET,97.72,114.68,94.77,155.82,40.04,160.78,72.19,0,1,1,1,1,moderate
HOCKEY,60.6,92.73,55.24,150.65,66.29,139.15,40.33,1,1,1,1,3,critical
TRACK,108.77,138.02,49.15,89.68,26.57,153.74,74.38,0,1,1,1,2,high
CRICKET,118.03,143.13,118.04,157.83,23.13,170.61,82.02,0,0,0,0,0,low
WRESTLING,42.46,68.61,22.81,178.5,76.44,153.75,34.07,1,1,1,1,3,critical
BOXING,108.78,125.57,126.9,130.81,30.89,151.15,67.62,0,1,1,1,2,high
CRICKET,125.84,160.81,129.43,154.55,23.31,172.61,75.91,0,0,0,1,0,low
SOCCER,95.8,146.75,123.91,122.16,37.18,163.68,64.87,0,1,1,1,2,high
CRICKET,66.71,98.69,45.36,181.17,63.55,145.17,45.89,1,1,1,1,3,critical
TENNIS,73.03,109.91,52.23,182.2,51.42,152.3,47.19,1,1,1,1,3,critical
WRESTLING,71.88,84.33,61.96,172.58,74.65,160.61,42.32,1,1,1,1,2,high
VOLLEYBALL,86.98,107.46,85.14,160.9,35.75,153.55,62.14,1,1,1,1,2,high
BASKETBALL,76.56,114.8,68.79,136.34,39.52,143.38,67.02,1,1,1,1,3,critical
TRACK,92.61,104.73,33.61,107.84,32.29,147.72,57.81,1,1,1,1,3,critical
CRICKET,103.64,133.1,92.2,160.88,36.19,162.12,69.35,0,1,1,1,1,moderate
TRACK,85.12,118.91,32.2,115.46,31.46,146.3,58.85,1,1,1,1,3,critical
BOXING,116.72,125.21,122.35,128.04,35.26,159.21,50.78,0,1,1,1,2,high
BASKETBALL,69.49,120.74,57.36,140.68,36.78,151.28,45.18,1,1,1,1,3,critical
WRESTLING,42.18,74.79,46.17,170.37,81.99,143.32,21.22,1,1,1,1,3,critical
HOCKEY,132.07,139.5,129.51,71.75,29.54,173.94,92.71,0,0,0,0,0,low
SWIMMING,114.22,120.83,57.3,174.38,23.96,163.88,77.34,0,1,0,1,2,high
SOCCER,150.34,164.87,134.27,72.23,13.17,170.79,84.07,0,0,0,0,0,low
RUGBY,136.35,129.57,89.1,119.78,24.85,172.96,85.11,0,0,0,0,0,low
BASKETBALL,73.08,103.47,61.22,138.91,31.31,148.25,63.84,1,1,1,1,3,critical
GYMNASTICS,111.41,111.32,156.72,169.17,25.61,168.1,80.89,0,0,0,0,0,low
GYMNASTICS,77.4,90.56,108.52,170.37,54.59,156.06,81.73,0,1,1,0,1,moderate
RUGBY,123.05,122.2,108.53,110.37,41.23,161.3,71.96,0,1,1,1,1,moderate
TENNIS,123.82,134.8,100.12,163.26,30.7,160.25,75.53,0,1,1,1,1,moderate
